Product Name,Discounted Price (â‚¹),Discount (%),Offer Ends On
Spinach,20.07,10,30-07-2025
Broccoli,412.43,15,28-07-2025
Carrot,68.2,12,05-08-2025
Tomato,243.27,5,01-08-2025
Cabbage,377.66,20,25-07-2025
Beetroot,157.42,8,02-08-2025
Sweet Potato,75.67,10,31-07-2025
Cucumber,378.19,15,29-07-2025
Bell Pepper,261.37,5,03-08-2025
Zucchini,163.21,12,26-07-2025
Green Peas,270.98,10,30-07-2025
Pumpkin,338.91,15,06-08-2025
Brinjal,303.47,8,02-08-2025
Onion,176.4,5,04-08-2025
Garlic,192.07,20,29-07-2025
Apple,213.22,10,05-08-2025
Banana,377.39,15,28-07-2025
Mango,298.65,12,03-08-2025
Pomegranate,165.26,5,02-08-2025
Grapes,392.09,10,31-07-2025
Papaya,384.27,15,01-08-2025
Pineapple,23.55,8,30-07-2025
Guava,194.03,5,04-08-2025
Chikoo,92.95,12,06-08-2025
Avocado,36.54,20,27-07-2025
Watermelon,334.75,10,02-08-2025
Orange,82.36,15,29-07-2025
Kiwi,173.98,12,05-08-2025
Dates,42.67,5,30-07-2025
Raisins,41.91,10,03-08-2025